"State","Name","Code","ColRulerName","GDPpc17","HDI17","IHDI17","Gini","ColRuler","ColRulerCode","IndFrom","IndDate","IndViol","IndType","SecFrom","SecDate","SecViol","Into","IntoDate","COWsys","GWsys","Notes"
705,"Kazakhstan","KAZ","Russia",8756.4571398539,0.8,0.737,26.9,365,"RUS",365,199112,0,3,-9,-9,-9,-9,-9,199112,199112,"Acquired by Russia over 18th-19th centuries after Mongol rule"
501,"Kenya","KEN","United Kingdom",1507.81462604759,0.59,0.434,48.5,200,"GBR",200,196312,1,2,-9,-9,-9,-9,-9,196312,196312,"-9"
703,"Kyrgyzstan","KGZ","Russia",1251.38063772788,0.672,0.606,26.8,365,"RUS",365,199112,0,3,-9,-9,-9,-9,-9,199112,199108,"-9"
811,"Cambodia","KHM","France",1382.12138111543,0.582,0.469,NA,220,"FRA",220,195311,1,2,-9,-9,-9,-9,-9,195311,195311,"Ruled by Siam before French acquisition in 1863"
946,"Kiribati","KIR","United Kingdom",1694.28610646283,0.612,NA,37,200,"GBR",200,197907,0,2,-9,-9,-9,-9,-9,199909,-9,"Fomerly the Gilbert Islands"
60,"Saint Kitts and Nevis","KNA","United Kingdom",16817.9502782211,0.778,NA,NA,200,"GBR",200,198309,0,2,-9,-9,-9,-9,-9,198309,-9,"British consolidated control in 1783; St. Kitts & Nevis united in 1882"
732,"South Korea (ROK)","KOR","Japan",30025.1957363731,0.903,0.773,31.6,740,"JPN",730,194808,1,4,-9,-9,-9,-9,-9,194906,194808,"Not coded as leaving unified Korea because 1945 Korea was Jap. protectorate"
690,"Kuwait","KWT","United Kingdom",28897.1865162497,0.803,NA,NA,200,"GBR",200,196106,0,2,-9,-9,-9,-9,-9,196106,196106,"-9"
812,"Laos","LAO","France",2457.37990149978,0.601,0.445,36.4,220,"FRA",220,195310,1,2,-9,-9,-9,-9,-9,195310,195405,"Claimed / invaded by Thais before French control established in 1893"
660,"Lebanon","LBN","Turkey",8778.47183166005,0.757,NA,31.8,640,"TUR",220,194311,0,2,-9,-9,-9,-9,-9,194603,194411,"French mandate (Levant States) included both Lebanon & Syria"
450,"Liberia","LBR","Not Colonized",583.830053471054,0.435,0.298,33.2,-9,"N/C",-9,184707,0,1,-9,-9,-9,-9,-9,192006,184707,"-9"
620,"Libya","LBY","Turkey",3941.77382089043,0.706,NA,NA,640,"TUR",200,195112,0,2,-9,-9,-9,-9,-9,195112,195112,"G&W add earlier indep from 1/1/1816-12/31/1834"
56,"Saint Lucia","LCA","United Kingdom",9606.96555740281,0.747,0.622,NA,200,"GBR",200,197902,0,2,-9,-9,-9,-9,-9,197902,-9,"French abandoned claim in 1814 Treaty of Paris"
223,"Liechtenstein","LIE","Not Colonized",166021.702917002,0.916,NA,NA,-9,"N/C",-9,180607,1,4,-9,-9,-9,-9,-9,199009,-9,"Independent due to Napoleonic partition of Holy Roman Empire; in Austrian customs union to 1918 / Swiss customs union since 1924"
780,"Sri Lanka (Ceylon)","LKA","United Kingdom",4184.36532372811,0.77,0.664,39.8,200,"GBR",200,194802,0,2,-9,-9,-9,-9,-9,194802,194802,"-9"
570,"Lesotho","LSO","United Kingdom",1178.31175387437,0.52,0.359,54.2,200,"GBR",200,196610,0,2,-9,-9,-9,-9,-9,196610,196610,"-9"
368,"Lithuania","LTU","Russia",16449.6795861987,0.858,0.757,37.4,365,"RUS",365,191802,1,2,365,199109,0,-9,-9,191802,191802,"Absorbed into USSR from 6/1940 until seceded 9/1991; seceded from Russia 12/19198"
